id,name,url,category_name,nature_name,location_names,experience_code,levels,department_code,updated_at,match_source,description,requirement
26256,高级AIGC产品经理（可灵AI专项）,https://zhaopin.kuaishou.cn/#/official/social/job-info/26256,产品类,全职,北京,5,"E8,E9,E10",D13912,2026-04-10T13:39:56.000+08:00,AI + 产品类,1、产品战略与规划： 深入洞察AIGC行业趋势、用户需求和竞争格局，负责AI图像生成模型及相关应用功能（Web & App）的中长期产品规划和迭代路线图； 2、核心功能与体验设计： 负责AI图像生成核心功能的完整生命周期，通过提升模型的可控性、表现力和易用性，系统性地优化用户创作体验，并探索与定义前沿的AI原生交互模式； 3、一体化工作流构建： 规划并推动图像与视频生成工作流的深度整合方案，打造连贯、高效的一体化创作体验，构建平台的核心竞争壁垒； 4、模型效果定义与驱动： 与算法团队紧密协作，将用户场景和产品需求，转化为清晰、可量化的模型效果评估标准。通过建立评测体系和反馈闭环，持续驱动算法模型在美学、可控性、真实感等方面的迭代精进； 5、数据驱动与用户洞察： 深度挖掘用户行为数据，结合定性/定量的用户研究和A/B测试，科学地评估产品表现，精准洞察用户核心意图与痛点，发现增长机会并驱动产品决策； 6、跨团队协同与项目管理： 作为项目核心，高效地与算法、工程、设计、运营、法务等团队沟通协作，确保产品高质量、按时交付，并达成预期的业务和数据目标。,1、经验背景： 3年及以上互联网产品经理经验，其中必须包含至少1年以上AIGC产品（图像或视频生成方向优先）的核心岗位经验； 2、领域认知： 对AIGC技术及行业有深刻理解，熟悉主流AI图像/视频产品的特点、优势及局限性，有自己的独到见解； 3、技术理解力： 对AI技术原理有基本认知，尤其熟悉扩散模型（Diffusion Model）、多模态大模型等，能与算法工程师进行深度、高效的技术方案交流； 4、产品硬实力：具备优秀的逻辑思维和用户同理心，能从复杂的场景中洞察用户痛点，并提炼为清晰的产品需求。能独立完成高质量的PRD、交互原型设计、数据埋点方案等产品文档的撰写； 5、数据能力： 具备优秀的数据分析能力和数据敏感性，能熟练运用数据指导产品决策，有A/B测试设计和分析经验者优先； 6、综合素质：具备出色的沟通协调和项目管理能力，能有效驱动跨职能团队达成目标。有强烈的自驱力、好奇心和责任心，能在快速变化和充满挑战的环境下保持学习和成长。对AI创作充满热情，乐于探索技术的边界，渴望打造出改变内容创作方式的顶尖产品； 7、加分项：有从0到1成功打造并运营AIGC产品的经验者优先。有AI Agent或多步工作流（Workflow）自动化产品设计经验者优先。具备影视行业背景（如导演、分镜师等），深刻理解叙事与镜头语言者优先。具备技术（算法/开发）或设计（UI/UX）背景者优先。有海外产品设计和运营经验者优先。
27465,AI Native产品专家（AIGC对话方向）-【生活服务】,https://zhaopin.kuaishou.cn/#/official/social/job-info/27465,产品类,全职,北京,5,"E7,E8,E9",D14531,2026-04-10T11:25:19.000+08:00,AI + 产品类,1、场景定义与重构：深入理解商业化“商家私信”的全链路场景（重点是分行业咨询、营销转化以及留资转化），基于大模型能力重构商家与用户的对话交互模式，打造AI Native的智能客服与营销助手； 2、大模型对话策略：负责对话机器人的核心策略设计，包括但不限于多agent协同、Prompt Engineering、RAG（检索增强生成）知识库构建等的优化，确保机器人回答的准确性、拟人化和情感化； 3、商业化闭环设计：探索AI对话的商业价值，设计“对话即服务/交易”的链路。通过AI主动引导、商品推荐、优惠发放、引导留资等策略，在服务过程中提升商业化转化率（留资/消耗）； 4、商家提效工具：为商家提供低门槛的AI配置后台（Agent配置、知识库管理），让不同行业的商家能轻松训练自己的“金牌导购AI”； 5、效果评估与迭代：建立涵盖准确率、覆盖率、用户满意度（CSAT）及商业转化率的立体评估体系，基于Badcase分析持续驱动模型与产品的迭代。,1、背景：本科及以上学历，3年以上产品经验，其中至少2年NLP/大模型/智能客服相关经验，或电商交易/导购产品经验； 2、AI Native思维：深刻理解LLM（大语言模型）的原理、边界与能力（如GPT、Claude、国内主流大模型），有实际落地的Agent设计或Prompt调优经验者优先，拒绝“为了AI而AI”； 3、商业化Know-how：熟悉商业化流程，理解商家无法从咨询转销售等痛点，能将复杂的业务逻辑转化为AI可执行的任务； 4、数据驱动：具备极强的数据敏感度，能通过A/B Test验证对话策略对商业指标（转化率、点击率）的影响； 5、加分项：有过Manus/Character.ai/Jasper等AI Native产品深度研究或从业经验者优先。
28353,广告策略产品运营（AIGC方向）-【生活服务】,https://zhaopin.kuaishou.cn/#/official/social/job-info/28353,产品类,全职,北京,5,"E8,E9",D12246,2026-04-10T11:07:49.000+08:00,AI + 产品类,1、广告AIGC素材策略定制：深入研究信息流广告线索类行业（如商务服务、通信、家居建材等）的广告素材，基于投后数据和内容结构，提炼好素材的脚本和内容结构范式，形成可量化的素材策略SOP，持续推动广告AIGC素材的生产质量的提升； 2、推动创编和分发效率提升：基于广告平台的创编逻辑和引擎分发逻辑，通过数据分析，挖掘生产/创编/分发的漏斗洼地，并转化为明确的产品需求，保障素材消耗提升； 3、产品赋能：负责相关功能上线后的推广、培训、案例沉淀与效果跟踪，赋能业务团队规模化应用AIGC； 4、监测与迭代： 跟踪策略落地效果，通过数据反馈持续验证和优化内容策略，确保其有效性。,1、本科及以上学历，3年以上信息流广告优化、广告创意策略或商业化产品运营相关经验，对效果广告有深刻理解； 2、熟悉短视频或生活服务行业，有过平台策略或行业研究经验优先； 3、具备强逻辑分析与抽象能力，能将复杂现象提炼为可执行框架； 4、熟练使用数据分析工具，如SQL、Tableau、Excel等； 5、沟通协调能力强，能推动跨部门项目落地。
28344,智能客服产品经理（AI方向）-【生活服务】,https://zhaopin.kuaishou.cn/#/official/social/job-info/28344,产品类,全职,北京,5,"E7,E8",D12246,2026-04-10T11:07:49.000+08:00,AI + 产品类,1、负责效果投放平台、企微端等多端智能客服产品，包括但不限于面向客户的AI客服、AI优化师、SCRM等产品，完成需求沟通、需求执行落地，辅助研发模型调优，助力业务指标达成； 2、结合客户（投手）在投放过程中的需求和大模型能力，通过搭建智能化的交互流程、用户意图识别及优化解决方案等方式，满足客户（投手）对平台问题咨询和信息获取需求，为智能客服可覆盖的客户规模和活跃度负责； 3、持续学习业界优秀的SCRM、AI机器人等方向产品，并且能基于有效的数据分析和业务调研，持续推动产品迭代，助力业务目标达成。,1、有商业化AI智能问答类工具、智能客服类产品0-1孵化经验优先，有模型训练与评测、动手搭建过简易Agent经验优先，有输出过可量化可标准化的对客营销/投放策略方案的经验优先； 2、对智能营销助手和AI大模型有较高的热情和好奇心，了解大模型能力，应用场景等，对智能解决方案有较深理解，积极性和推动能力强； 3、有商业广告相关经验/熟悉ToB营销产品优先；对智能服务和有较高的热情和好奇心，对智能解决方案和智能服务流程有较深理解； 4、有较强的数据分析、挖掘能力，数据敏感度高，能有效搭建评估指标体系和通过数据归因问题。
29901,广告产品运营（AI应用方向）-【生活服务】,https://zhaopin.kuaishou.cn/#/official/social/job-info/29901,产品类,全职,北京,5,"E7,E8,E9",D14545,2026-04-10T11:07:40.000+08:00,AI + 产品类,1、负责线索广告产品的全生命周期运营，包括但不限于产品上线、推广、数据分析、效果跟踪等环节，提升产品使用率和广告主满意度； 2、与产品、技术、销售团队紧密协作，推动线索广告产品功能迭代和优化，主攻AI聊天对话意向识别、LLM训练等，提升线索有效性等广告主投放效果； 3、深入理解线索广告业务，洞察行业趋势和客户需求，制定针对性的运营策略，优化广告投放效果； 4、监控和分析运营数据，挖掘用户行为规律，设计并实施数据驱动的运营策略； 5、负责客户培训与支持，帮助广告主更高效地使用产品，提升客户转化率和复购率； 6、收集市场反馈，形成定期报告，支持产品团队制定中长期发展规划。,1、本科及以上学历，3 年以上互联网广告产品运营相关经验，有线索广告产品运营经验优先；有 LLM 技术在识别任务、模型训练或实际应用场景中的相关经验者显著加分；学习能力强、愿意关注新生技术显著加分； 2、熟悉线索广告的产品逻辑及运营模式，具有较强的市场敏感性和用户需求洞察能力； 3、优秀的数据分析能力，熟练掌握 SQL 语言，能够独立完成数据提取、清洗、统计与分析，能够基于数据发现问题并制定相应的解决方案； 4、具备优秀的沟通协调能力，能够跨部门有效协作，推动项目落地； 5、责任心强，抗压能力强，能够适应快节奏的工作环境。
28303,广告策略产品专家（AI智能投放方向-UAX）-【生活服务】,https://zhaopin.kuaishou.cn/#/official/social/job-info/28303,产品类,全职,北京,5,"E8,E9,E10",D14798,2026-04-10T11:07:38.000+08:00,AI + 产品类,1、团队介绍：作为智能投放中台支持生活服务业务。横向拉通智能投放基础策略模块、纵向拉通线索行业产品提供解决方案、团队氛围nice，在这里可以收获广告智能投放能力，也可以深入了解不同行业； 2、负责商业化线索广告产品系统搭建，为广告主提供智能投放解决方案，从而提升广告变现效果，达成商业目标； 3、负责智能化投放系统的一个或多个方向建设，范围涵盖中小友好投放-省心投、周期稳投及线索智能投放UAL、调价&基建&Agent策略等全线产品； 4、根据行业洞察及机会探索，抽象提炼客户问题，并通过生成式智能调价、智能基建、投放Agent及、素材Aigc等策略优化，促进客户成长和广告收入。,1、本科及以上学历，有过智能投放、智能调价、智能基建、素材优选、成本优化和跑量策略等至少一项商业化策略经验优先； 2、优秀的沟通能力及跨团队的协同能力，可以有效进行内外部团队的串联，独立负责和推进需求； 3、负责任、学习能力强，具备很好的适应能力与抗压能力，能够融入快节奏的产品团队； 4、具备SQL能力，有较强的数据分析Sense，能用数据说话。
28798,AIGC产品经理（号生态方向）-【生活服务】,https://zhaopin.kuaishou.cn/#/official/social/job-info/28798,产品类,全职,北京,5,"E7,E8,E9",D14536,2026-04-10T11:07:33.000+08:00,AI + 产品类,1、负责快手生服线索经营工具以及商业生态相关产品功能迭代，包括生活号线索经营组件提效，AIGC内容生产赋能，为线索商家活跃指标负责，助力团队账号营收目标达成； 2、作为方向主R，具备业务中长期规划能力，具备良好的对外沟通和资源协调能力，指标意识强。能联动多团队达成业务目标； 3、具备用户视角，能从平台、商家和用户多方视角，全链路的思考线索经营商业生态机制设计。关注行业趋势，了解业界最佳实践，并能结合业务当前阶段制定解决方案。,1、本科及以上学历，3年以上工作经验，有号生态产品、AIGC经验者优先考虑； 2、数据敏感度高，逻辑思维缜密，善于分析、抽象和解决问题； 3、具备高度责任心，有良好的跨团队沟通能力，较强的学习能力和抗压能力。
30143,商业私信产品经理（AI方向）-【生活服务】,https://zhaopin.kuaishou.cn/#/official/social/job-info/30143,产品类,全职,北京,5,"E7,E8,E9",D14543,2026-04-10T11:07:32.000+08:00,AI + 产品类,1、负责快手商业私信链路投广体验和效果优化，包含广告点击→私信进线→留资转化的漏斗效率，对SCVR和私信消耗指标负责； 2、主导AI能力在线索广告的落地应用，包括不限于商家知识库搭建及应用，咨询意图识别理解等； 3、联动业务团队定位客户问题，针对不同垂直行业预算特点设计差异化产品解决方案； 4、具备用户视角，能从平台、商家和用户多方视角。关注行业趋势，了解业界最佳实践，并能结合业务当前阶段制定解决方案。,1、本科及以上学历，3-5年产品经理经验，有线索广告、IM广告等相关产品经验； 2、有AI项目落地经验：主导或深度参与过AI能力在实际业务场景的产品化落地； 3、具备高度责任心，有良好的跨团队沟通能力，较强的学习能力和抗压能力。
30096,线索CRM产品（AI方向）-【生活服务】,https://zhaopin.kuaishou.cn/#/official/social/job-info/30096,产品类,全职,北京,5,"E8,E9,E10",D12421,2026-04-10T11:07:31.000+08:00,AI + 产品类,1、负责快手线索CRM产品规划与落地，涵盖线索生命周期管理（线索获取-分配-跟进-转化-复盘），构建行业领先的线索经营基础设施； 2、主导AI能力在线索CRM场景的落地应用，探索智能线索分层、智能分配、智能跟进等方向，通过AI技术提升线索转化效率和用户体验； 3、深入理解本地生活线索业务场景（生服、汽车、家居、医美、教育等），设计适配多行业特性的CRM解决方案，支持商家线索经营效率提升； 4、联动算法、工程、运营团队，将AI能力与业务场景深度结合，推动从0到1的产品创新及规模化应用。,1、本科及以上学历，3-5年产品经理经验，有CRM、SCRM、销售工具、营销自动化等相关产品经验； 2、完整主导过至少一款B端产品从0到1或从1到N的迭代过程； 3、有AI项目落地经验：主导或深度参与过AI能力在实际业务场景的产品化落地。
27355,策略产品实习生（AIGC方向）-【生活服务】,https://zhaopin.kuaishou.cn/#/official/social/job-info/27355,产品类,实习,北京,1,,D10698,2026-04-10T11:07:26.000+08:00,AI + 产品类,1、对AIGC感兴趣，协助跟进商业化AI评论、AI小说、数字员工、智能客服、数字人直播互动等相关产品的设计及上线； 2、跟进业务重点项目需求分析和实时落地，高效推进保证项目按时交付； 3、负责AI生成内容的评估及分析，并从case中洞察问题，通过模型、Prompt、工作流等手段调优生成效果。,1、本科及以上学历，有过 AI、机器算法学习、竞价广告策略、推荐策略等相关实习经验优先； 2、对AI 产品感兴趣，愿意了解行业内外前沿科技和AI 在广告领域的应用范式； 3、具备一定数据分析能力，学习意愿强烈，工作踏实认真； 4、能实习6个月及以上，一周至少4天，全勤到岗优先。
27829,策略产品实习生（AIGC方向）-【生活服务】,https://zhaopin.kuaishou.cn/#/official/social/job-info/27829,产品类,实习,北京,2,,D10606,2026-04-10T11:07:26.000+08:00,AI + 产品类,1、对AIGC感兴趣，协助跟进商业化AI评论、数字员工、智能客服、数字人直播互动等相关产品的设计及上线； 2、跟进业务重点项目需求分析和实时落地，高效推进保证项目按时交付； 3、负责AI生成内容的评估及分析，并从case中洞察问题，通过模型、Prompt、工作流等手段调优生成效果。,1、本科及以上学历，有过 AI、机器算法学习、竞价广告策略、推荐策略等相关实习经验优先； 2、对AI 产品感兴趣，愿意了解行业内外前沿科技和AI 在广告领域的应用范式； 3、具备一定数据分析能力，学习意愿强烈，工作踏实认真； 4、能实习6个月及以上，一周至少4天，全勤到岗优先。
28315,AI直播产品组实习生,https://zhaopin.kuaishou.cn/#/official/social/job-info/28315,产品类,实习,北京,2,,D10606,2026-04-10T11:07:25.000+08:00,AI + 产品类,1、协助直播产品组开展生活服务部门的AI直播业务，参与AI虚拟人直播相关产品的功能设计及优化； 2、针对AI生成直播效果制定测评标准，并参与效果评定和后续优化，分析效果并提出优化建议； 3、支持商家和达人直播间背景样式的灵活调整，协助营造大促氛围，突出商品核心卖点等； 4、参与数据分析工作，支持直播转化率和GMV提升相关的策略分析，提供数据支持和优化方向；,1、本科及以上学历，计算机、人工智能、数据科学等相关专业优先； 2、对AI技术、生活服务直播及生服行业有相关实习经验者优先； 3、具备良好的逻辑思维能力、数据分析能力，熟练使用Axure、SQL等分析工具； 4、优秀的沟通能力和团队协作能力，责任心强，能够适应快节奏的工作环境； 5、实习时间6个月，每周到岗4天及以上优先； 6、对AI虚拟人、生活服务直播业务有了解，或有相关领域的项目经验的优先； 7、有使用AI生成技术或直播相关工具的实际操作经验的优先； 8、对直播间视觉设计、背景及氛围营造有一定的认知和兴趣的优先。
28376,AIGC产品专家（内容策略方向）-【生活服务】,https://zhaopin.kuaishou.cn/#/official/social/job-info/28376,产品类,全职,北京,5,"E8,E9,E10",D14530,2026-04-10T11:07:25.000+08:00,AI + 产品类,1、负责快手生活服务AI产品相关内容策略产品工作。深入理解本地生活业务、广告业务及内容（直播&短视频等）生态，搭建并优化策略产品体系，助力业务增长； 2、将AIGC与本地生活行业的特点和对应广告域特点，设计AIGC与内容推荐、投放、搜索、流量分发、用户转化、内容范式等结合的核心策略，提升平台变现效率和商业化价值； 3、通过深入的数据分析和用户行为洞察，挖掘业务增长点，制定对应的内容侧策略方向，提升用户活跃度，优化变现和转化效果； 4、结合AI能力，探索AI短视频、AI直播在本地生活服务场景中的创新型应用，推动智能化内容创作与分发策略的落地； 5、协同算法、DA、技术和运营团队，制定并实施策略产品解决方案，将策略产品需求转化为可落地方案并推动实施，推动流量分发、广告转化和内容消费的全链路优化，确保策略效果达成； 6、持续跟踪策略产品的效果数据，进行复盘分析，推动产品功能和策略迭代优化； 7、关注行业趋势和竞品动态，结合快手平台特点，探索本地生活、广告和内容的创新策略，驱动商业价值提升。,1、本科及以上学历，热爱AIGC行业（欢迎没有AIGC经验但热爱并乐于转型的同学），3年以上策略产品经理相关经验，对本地生活业务、广告业务和内容（直播&短视频）领域有深入理解； 2、熟悉互联网流量分发机制，具备流量调控、广告投放、内容分发的策略设计经验； 3、优秀的数据分析能力，能够通过数据驱动产品优化，熟练使用SQL等数据分析工具，有相关数据分析背景者优先； 4、具备优秀的跨团队沟通与协作能力，能快速协调资源推动策略落地，结果导向； 5、了解生成式AI能力边界，对于AI内容（AI短视频、AI直播等）有了解优先。
28317,AI内容产品组实习生,https://zhaopin.kuaishou.cn/#/official/social/job-info/28317,产品类,实习,北京,2,,D10606,2026-04-10T11:07:24.000+08:00,AI + 产品类,1、协助内容产品组进行生活服务部门的AI生成内容相关工作，包括图文生成、视频生成等内容生产； 2、针对AI生成效果制定测评标准，并参与效果评定和后续优化； 3、参与短视频与对应品类的匹配策略制定，协助优化内容推荐和分发策略； 4、协助团队分析商品内容对转化及GMV提升的影响，提供数据支持和优化建议； 5、参与产品需求调研、功能设计、项目推进及上线运营工作，推动项目进展。,1、本科及以上学历，计算机、人工智能、信息技术、数据科学等相关专业优先； 2、对AI生成内容、多模态大模型、生成式算法、有浓厚兴趣，有相关实习经验者优先； 3、具备良好的学习能力、数据分析能力及逻辑思维能力，熟练使用Axure、SQL等数据分析工具者优先； 4、优秀的沟通与团队协作能力，责任心强，能够适应快节奏的工作环境； 5、实习时间6个月，每周到岗4天及以上优先； 6、对内容生态、生活服务行业有了解，或有相关领域的项目经验的优先； 7、熟悉AI内容生成技术（如Diffusion Model、图像生成等）相关知识的优先。
20795,AIGC产品专家（直播方向）-【生活服务】,https://zhaopin.kuaishou.cn/#/official/social/job-info/20795,产品类,全职,北京,5,"E9,E10",D14530,2026-04-10T11:07:24.000+08:00,AI + 产品类,1、负责本地生活服务业务下的AI直播能力建设，能够深入了解各行业场景的场景和痛点的深刻理解，制定具备良好体验的产品方案； 2、结合先进的AIGC技术，通过大语言模型、文生图、图生图等能力打磨和在直播场景组合应用，优化AI直播平台核心能力，帮助商家实现降本增效； 3、高效协同研发、产品、运营等关键团队，与协同部门建立深度合作关系，精准提炼业务需求，推动关键能力的实现与业务的持续迭代，确保业务在高效与高质量中实现稳步增长； 4、保持对市场竞品的高度敏感，结合本地生活服务的实际痛点，场景化地规划产品的发展方向和执行路径，确保产品始终走在行业前沿。,1、计算机、AI等相关专业背景优先，了解NLP、深度学习等AI技术框架和算法原理； 2、3年以上互联网产品经理工作经验、3年AI产品或视频类产品相关从业经验； 3、较强的市场分析和产品规划能力； 4、具备良好的团队协作和项目管理能力者优先； 5、有大语言模型等前沿技术产品落地经验者优先、有商业化AI产品落地经验优先。
23556,AIGC产品经理（短视频方向）-【生活服务】,https://zhaopin.kuaishou.cn/#/official/social/job-info/23556,产品类,全职,北京,5,"E8,E9,E10",D14530,2026-04-10T11:07:23.000+08:00,AI + 产品类,1、负责广告素材AIGC产品全生命周期管理，包括但不限于脚本生成、文生图片、图生视频、文生视频等方向； 2、设计和实施创新的AIGC解决方案，以支持数字人业务发展，包括数字人口型驱动、表情驱动、动作驱动，以及文生音频、文生图片、数字人互动等功能； 3、与研发团队紧密合作，确保产品从概念到市场落地过程中的需求准确无误地实现，进行市场调研，收集用户反馈，分析竞争对手，以指导产品优化和迭代； 4、探索和评估新兴的人工智能技术，以识别新的应用场景，并提高现有产品的性能和用户体验，关注行业趋势，确保我们的AIGC解决方案始终保持行业领先。,1、计算机科学、人工智能或相关领域的专业背景优先，希望你深入理解NLP、深度学习等技术框架和算法原理； 2、至少3年互联网经验，有3年以上产品或广告素材相关领域从业经验优先； 3、具备出色的市场分析和产品规划能力，能根据市场需求制定有效的商业策略； 4、优秀的团队协作和项目管理能力，能够在多部门间有效沟通并推动项目进度，优先考虑成功实施前沿技术产品或商业化AIGC产品的经验者。
29156,AI产品经理-【AI数字化员工平台】,https://zhaopin.kuaishou.cn/#/official/social/job-info/29156,产品类,全职,北京,5,E8,D10915,2026-04-10T10:32:06.000+08:00,AI + 产品类;AI产品经理,你是否想过，用AI技术彻底改变企业员工的工作方式？你是否希望站在技术浪潮的最前沿，定义下一代AI数字员工产品？ 我们正在构建一个业界领先的AI数字化员工平台，通过AI Agent技术实现AI Native的工作新范式。在这里，你将： ● 定义未来产品：深度理解AI大模型（Gemini、GPT、Claude）的能力边界，将前沿技术转化为用户真正需要的产品功能 ● 驱动商业价值：洞察开发者痛点，设计AI驱动的解决方案，实现10X的工作效率提升 ● 跨界融合创新：连接技术与业务，与顶尖工程师、设计师紧密协作，将AI Agent的无限可能变为现实 ● 引领行业变革：参与定义AI时代的软件开发新范式，成为行业标准的制定者 如果你渴望用产品思维和AI重新定义开发者体验，我们期待你的加入！ 1、产品规划与设计：深入研究AI Agent、大模型应用等前沿技术，挖掘在企业工作场景中的落地机会；撰写清晰的PRD文档，定义产品需求、用户故事及验收标准； 2、用户研究与需求洞察：深入理解开发者工作流程，识别代码编写、测试、部署、运维等环节的效率瓶颈；持续挖掘用户需求与市场机会，建立用户反馈闭环，驱动产品持续迭代优化； 3、项目推进与跨团队协作：与研发、设计、算法团队紧密协作，推动产品从概念到上线的全流程落地；协调内外部资源，把控项目进度与质量，确保按时交付； 4、数据驱动与效果评估：建立产品核心指标体系，通过数据监控评估产品表现；基于数据洞察持续优化产品策略，提升用户体验与商业价值。,1、本科及以上学历，3年以上产品经理经验，有完整的产品从0到1经历； 2、具备价值判断力，能够将“用户需求”转化成“可被模型解决的问题”，设计AI产品能够真正创造增量价值； 3、优秀的逻辑思维能力，能够将复杂问题结构化拆解；具备AI产品设计能力，能设计人机协作流程； 4、具备拥抱AI的意识，日常产品工作中尽可能使用AI工具/能力为产品工作赋能； 5、加分项： （1）熟悉AI数字员工以及有AI Coding领域经验； （2）了解大语言模型（LLM）、AI Agent、Prompt Engineering等技术原理； （3）有AI产品、开发者工具（ToD）或企业级产品（ToB）经验； （4）技术背景或编程经验，能够与工程师深度对话。
24770,AIGC产品经理（电商广告）-【电商】,https://zhaopin.kuaishou.cn/#/official/social/job-info/24770,产品类,全职,北京,5,"E8,E9,E10",D13502,2026-04-09T16:40:13.000+08:00,AI + 产品类,1、负责AI大模型在快手电商广告人货匹配上的应用，利用大模型内容理解、AIGC视频生产等技术能力，提升客户全链路投放效率、用户C端转化效率； 2、了解CNN、RNN、transformer等大模型神经网络架构，负责AIGC文案/图片/视频多模态内容生产的能力建设，包括但不限于AI工具接入、产品化设计、消耗渗透提升等； 3、对AIGC行业市场动态具有较好的洞察能力，能够将前沿技术很好的应用于业务中； 4、同时具备较好数据敏感度和分析能力，能够从数据中洞察问题并提出优化思路。,1、本科及以上学历，至少有3年AIGC相关产品经验，若有商业化/电商等应用经验优先； 2、具备行业分析能力，数据敏感，逻辑清晰，熟练使用sql等数据分析工具者优先； 3、良好的学习能力，具有良好的独立思考能力、自我驱动力和行业洞察力； 4、良好的沟通能力，有团队合作精神与大局观。
28488,AI平台产品经理,https://zhaopin.kuaishou.cn/#/official/social/job-info/28488,产品类,全职,北京,4,"E6,E7,E8",D7511,2026-04-07T20:55:04.000+08:00,AI + 产品类,1、负责平台产品的需求分析、产品设计和落地推动工作，持续提升产品体验和用户满意度； 2、负责用户痛点调研、收集反馈及场景分析，并结合效果监测、行业动态等调整产品迭代方向； 3、与设计、研发、测试等不同职能同学配合，跨部门协作，推动产品交付迭代，提升整体对接效率。,1、2年以上产品经验，参与过中大型项目产品工作，善于拆解和推进复杂需求落地； 2、有扎实的产品基本功，逻辑思维强，细节和数据敏感，具备优秀的产品规划和沟通能力； 3、自驱性强，有领域视野，善于主动发掘潜在业务需求，能和各方建立良好的协作关系； 4、对LLM、Agent、RAG等技术有一定了解，具备大模型落地和使用经验，有较强的业务理解和学习能力； 5、有平台类产品经验者优先，参与过AI产品设计或有相关项目经验者优先。
26810,AI研发工具产品经理-【CodeFlicker】,https://zhaopin.kuaishou.cn/#/official/social/job-info/26810,产品类,全职,北京,4,"E7,E8",D7511,2026-04-07T20:52:57.000+08:00,AI + 产品类,1、制定AI大模型能力在研发交付工具领域的战略规划，确保与部门整体战略一致； 2、探索AI大模型在研发工具上的应用，深入了解最新技术发展趋势，并理解用户需求，为产品提供定制解决方案； 3、从真实用户使用路径出发，持续迭代AI能力在研发流程中的体验与效果，关注用户激活、使用深度、留存与价值感知，并推动在实际研发交付过程中的落地，对实际使用效果负责； 4、具备一定商业化与增长意识，参与AI研发工具的功能分层、付费转化路径设计，在保障用户体验的前提下推动产品价值转化。,1、具备优秀的沟通表达和文档撰写能力，自驱力强，善于和不同团队合作、能够沟通协调解决实际问题，推动方案落地； 2、注重用户体验，在交互方面有一定的积累，熟练掌握专业的设计和原型开发工具； 3、强用户导向，能够从用户行为和使用数据中洞察问题。具备数据意识，能够基于用户行为数据（如使用频率、功能渗透率、留存、转化等）评估产品效果，并指导产品决策与优先级调整； 4、在企业级服务、互联网产品、工具类或中台类产品方向拥有 1 年以上工作经验，对研发场景或开发者工具有深入理解者优先； 5、本科及以上学历，计算机科学、商业管理或相关技术专业背景，或具备同等水平的实践经验。 优先条件： 1、参与或主导过 AI Coding、代码助手、研发效能工具等相关产品的设计与建设，对模型能力与产品形态结合有实践经验； 2、拥有产品 2B 或 2C 商业化或增长相关经验者优先； 3、拥有大型公司内部项目协作、研发效能、DevOps、技术运营等领域平台建设经验者优先； 4、拥有多项目管理以及跨团队领域协调经验者优先，能在快节奏中保持良好决策力； 5、熟悉互联网产品研发交付过程，有一定技术背景者优先。
